Freq.	V(out)
1.15852375029603e+04	(4.31975377535115e+01dB,1.72280129887961e+02°)
1.24167501128531e+04	(4.31848966033800e+01dB,1.71679987304863e+02°)
1.33079432619005e+04	(4.31704151146635e+01dB,1.71042323548616e+02°)
1.42631004290436e+04	(4.31538345244048e+01dB,1.70364626080622e+02°)
1.52868125333390e+04	(4.31348618023430e+01dB,1.69644310290494e+02°)
1.63839999999999e+04	(4.31131658412853e+01dB,1.68878732029055e+02°)
1.75599364101946e+04	(4.30883734508706e+01dB,1.68065204515462e+02°)
1.88202738482713e+04	(4.30600651954137e+01dB,1.67201020407278e+02°)
2.01710700682430e+04	(4.30277711866301e+01dB,1.66283479819928e+02°)
2.16188176101030e+04	(4.29909669544662e+01dB,1.65309925123691e+02°)
2.31704750059207e+04	(4.29490695505205e+01dB,1.64277783339750e+02°)
2.48335002257063e+04	(4.29014341217666e+01dB,1.63184616806556e+02°)
2.66158865238010e+04	(4.28473512134985e+01dB,1.62028182651622e+02°)
2.85262008580873e+04	(4.27860451355729e+01dB,1.60806501271754e+02°)
3.05736250666780e+04	(4.27166737651917e+01dB,1.59517933611449e+02°)
3.27679999999998e+04	(4.26383302169930e+01dB,1.58161266404106e+02°)
3.51198728203891e+04	(4.25500468274666e+01dB,1.56735803794184e+02°)
3.76405476965427e+04	(4.24508019085597e+01dB,1.55241462807683e+02°)
4.03421401364860e+04	(4.23395296675264e+01dB,1.53678869128972e+02°)
4.32376352202060e+04	(4.22151336139324e+01dB,1.52049448491311e+02°)
4.63409500118414e+04	(4.20765036028387e+01dB,1.50355507988204e+02°)
4.96670004514125e+04	(4.19225364397618e+01dB,1.48600300798816e+02°)
5.32317730476020e+04	(4.17521596938937e+01dB,1.46788067383445e+02°)
5.70524017161745e+04	(4.15643580315777e+01dB,1.44924046391710e+02°)
6.11472501333559e+04	(4.13582010327154e+01dB,1.43014449475429e+02°)
6.55359999999997e+04	(4.11328711444650e+01dB,1.41066395931696e+02°)
7.02397456407782e+04	(4.08876901878302e+01dB,1.39087805668667e+02°)
7.52810953930853e+04	(4.06221427273771e+01dB,1.37087252152619e+02°)
8.06842802729720e+04	(4.03358946714645e+01dB,1.35073780475880e+02°)
8.64752704404120e+04	(4.00288057248484e+01dB,1.33056698934650e+02°)
9.26819000236827e+04	(3.97009347267262e+01dB,1.31045355188716e+02°)
9.93340009028249e+04	(3.93525374537148e+01dB,1.29048909652167e+02°)
1.06463546095204e+05	(3.89840570596416e+01dB,1.27076119099748e+02°)
1.14104803432349e+05	(3.85961079058273e+01dB,1.25135142359451e+02°)
1.22294500266712e+05	(3.81894540157110e+01dB,1.23233377654211e+02°)
1.31071999999999e+05	(3.77649836905768e+01dB,1.21377338227931e+02°)
1.40479491281556e+05	(3.73236819862036e+01dB,1.19572569234576e+02°)
1.50562190786171e+05	(3.68666026889458e+01dB,1.17823605723600e+02°)
1.61368560545944e+05	(3.63948412558603e+01dB,1.16133968588241e+02°)
1.72950540880824e+05	(3.59095098888780e+01dB,1.14506193291187e+02°)
1.85363800047365e+05	(3.54117155762928e+01dB,1.12941884895640e+02°)
1.98668001805650e+05	(3.49025415923996e+01dB,1.11441792477209e+02°)
2.12927092190408e+05	(3.43830326421734e+01dB,1.10005896132955e+02°)
2.28209606864698e+05	(3.38541835823557e+01dB,1.08633500534287e+02°)
2.44589000533424e+05	(3.33169314684472e+01dB,1.07323329882009e+02°)
2.62143999999999e+05	(3.27721505528459e+01dB,1.06073620274722e+02°)
2.80958982563112e+05	(3.22206498014895e+01dB,1.04882206489105e+02°)
3.01124381572341e+05	(3.16631724738192e+01dB,1.03746601250457e+02°)
3.22737121091888e+05	(3.11003973301190e+01dB,1.02664065863506e+02°)
3.45901081761648e+05	(3.05329410692593e+01dB,1.01631671724352e+02°)
3.70727600094731e+05	(2.99613616488412e+01dB,1.00646352779096e+02°)
3.97336003611300e+05	(2.93861621963837e+01dB,9.97049493307662e+01°)
4.25854184380816e+05	(2.88077952755737e+01dB,9.88042438178892e+01°)
4.56419213729396e+05	(2.82266673219854e+01dB,9.79409893465252e+01°)
4.89178001066847e+05	(2.76431431094652e+01dB,9.71119317744771e+01°)
5.24287999999997e+05	(2.70575501460369e+01dB,9.63138261899359e+01°)
5.61917965126225e+05	(2.64701829315456e+01dB,9.55434485610652e+01°)
6.02248763144682e+05	(2.58813070350781e+01dB,9.47976032882372e+01°)
6.45474242183776e+05	(2.52911629707675e+01dB,9.40731273325776e+01°)
6.91802163523295e+05	(2.46999698673103e+01dB,9.33668914933137e+01°)
7.41455200189461e+05	(2.41079289378031e+01dB,9.26757993794878e+01°)
7.94672007222599e+05	(2.35152267664862e+01dB,9.19967845149629e+01°)
8.51708368761631e+05	(2.29220384350755e+01dB,9.13268059820793e+01°)
9.12838427458791e+05	(2.23285305161630e+01dB,9.06628429583704e+01°)
9.78356002133693e+05	(2.17348639645508e+01dB,9.00018884535027e+01°)
1.04857599999999e+06	(2.11411969394277e+01dB,8.93409425294203e+01°)
1.12383593025245e+06	(2.05476875915666e+01dB,8.86770052701916e+01°)
1.20449752628936e+06	(1.99544968504796e+01dB,8.80070697456433e+01°)
1.29094848436755e+06	(1.93617912462337e+01dB,8.73281152321171e+01°)
1.38360432704659e+06	(1.87697458002376e+01dB,8.66371009465038e+01°)
1.48291040037892e+06	(1.81785470179389e+01dB,8.59309605751066e+01°)
1.58934401444520e+06	(1.75883960141929e+01dB,8.52065979122693e+01°)
1.70341673752326e+06	(1.69995117988872e+01dB,8.44608839560658e+01°)
1.82567685491758e+06	(1.64121347456315e+01dB,8.36906558647995e+01°)
1.95671200426739e+06	(1.58265302597949e+01dB,8.28927182261531e+01°)
2.09715199999999e+06	(1.52429926530421e+01dB,8.20638471619352e+01°)
2.24767186050490e+06	(1.46618492193279e+01dB,8.12007978640235e+01°)
2.40899505257873e+06	(1.40834644913247e+01dB,8.03003162166705e+01°)
2.58189696873510e+06	(1.35082446354396e+01dB,7.93591552441693e+01°)
2.76720865409318e+06	(1.29366419174672e+01dB,7.83740971668276e+01°)
2.96582080075784e+06	(1.23691591385505e+01dB,7.73419818876288e+01°)
3.17868802889039e+06	(1.18063539021704e+01dB,7.62597427333054e+01°)
3.40683347504652e+06	(1.12488425274267e+01dB,7.51244502103508e+01°)
3.65135370983516e+06	(1.06973033725495e+01dB,7.39333644149204e+01°)
3.91342400853477e+06	(1.01524792774626e+01dB,7.26839964983293e+01°)
4.19430399999997e+06	(9.61517877854873e+00dB,7.13741792397280e+01°)
4.49534372100979e+06	(9.08627569794850e+00dB,7.00021462705650e+01°)
4.81799010515745e+06	(8.56670667114441e+00dB,6.85666188306134e+01°)
5.16379393747020e+06	(8.05746616000345e+00dB,6.70668980970830e+01°)
5.53441730818636e+06	(7.55959851537586e+00dB,6.55029601450409e+01°)
5.93164160151568e+06	(7.07418671615899e+00dB,6.38755495189747e+01°)
6.35737605778078e+06	(6.60233753183622e+00dB,6.21862663032014e+01°)
6.81366695009304e+06	(6.14516304059938e+00dB,6.04376406157800e+01°)
7.30270741967032e+06	(5.70375868606711e+00dB,5.86331877755226e+01°)
7.82684801706954e+06	(5.27917836273586e+00dB,5.67774371984722e+01°)
8.38860799999994e+06	(4.87240736112103e+00dB,5.48759285525691e+01°)
8.99068744201959e+06	(4.48433434203252e+00dB,5.29351699621683e+01°)
9.63598021031490e+06	(4.11572379856192e+00dB,5.09625551579196e+01°)
1.00000000000000e+07	(3.92674033705623e+00dB,4.98969955615522e+01°)
